RptDt;Asst;TckrSymb;EcncIndDesc;PricVal
2020-08-14;AFS;RTDZAW1;ZAR X USD WMR/C. PRICE;17,36375
2020-08-14;ARB;RTARSMAE;ARS X USD MAE;73,1599
2020-08-14;ARB;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;ARS;RTARSMAE;ARS X USD MAE;73,1599
2020-08-14;AUD;RTDAUW1;USD X DAU WMR/C. PRICE;0,71725
2020-08-14;AUD;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;AUS;RTDAUW1;USD X DAU WMR/C. PRICE;0,71725
2020-08-14;BGI;BGILIQ;BOI GORDO - Liquidação;226,92
2020-08-14;BRI;CUSTO IBRX-50;CUSTO DE ALUGUEL IBRX-50;0,3
2020-08-14;BRI;RTIBXPF;ÍNDICE IBRX-50  -  FECHAMENTO;16566
2020-08-14;BRI;RTIBXPL;ÍNDICE IBRX-50  -  LIQUIDAÇÃO;16542
2020-08-14;CAD;RTDCAW1;CAD X USD WMR/C. PRICE;1,3249
2020-08-14;CAD;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;CAN;RTDCAW1;CAD X USD WMR/C. PRICE;1,3249
2020-08-14;CCM;CNILIQ;MILHO - Liquidação;55,15
2020-08-14;CHF;RTDCHW1;CHF X USD WMR/C. PRICE;0,9096
2020-08-14;CHF;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;CHL;RTDCLBC;CLP X USD BANCO CENTRAL CHILE;793,32
2020-08-14;CLP;RTDCLW1;CLP X USD WMR/C. PRICE;795,785
2020-08-14;CLP;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;CNH;RTDNHW1;CNH X USD WMR/C. PRICE;6,94175
2020-08-14;CNY;RTDCNW1;CNY X USD WMR/C. PRICE;6,9499
2020-08-14;CNY;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;DCO;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;DCO;RTSEL;TAXA SELIC;1,9
2020-08-14;DDI;RTDI1;TAXA DO CDI;1,9
2020-08-14;DDI;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;DI1;RTDI1;TAXA DO CDI;1,9
2020-08-14;DOL;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;ETH;ALPPHLIQ;ETANOL - Liquidação;1736,5
2020-08-14;EUP;RTEDOW1;USD X EUR WMR/C. PRICE;1,1829
2020-08-14;EUR;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;EUR;RTEDOW1;USD X EUR WMR/C. PRICE;1,1829
2020-08-14;FRO;RTDI1;TAXA DO CDI;1,9
2020-08-14;FRO;RTSEL;TAXA SELIC;1,9
2020-08-14;GBP;RTDGBW1;USD X GBP WMR/C. PRICE;1,3109
2020-08-14;GBP;RTDOLT1;PTAX800 VENDA;5,3852
2020-08-14;GBR;RTDGBW1;USD X GBP WMR/C. PRICE;1,3109
2020-08-14;HSI;HIZ1 - Ajuste;Preço de Ajuste para HSI;24271
2020-08-14;HSI;HIZ2 - Ajuste;Preço de Ajuste para HSI;23586
2020-08-14;HSI;HIZ3 - Ajuste;Preço de Ajuste para HSI;22965
2020-08-14;HSI;HIZ4 - Ajuste;Preço de Ajuste para HSI;22925
2020-08-14;HSI;HIZ5 - Ajuste;Preço de Ajuste para HSI;22907
2020-08-14;ICF;KCH1 - Ajuste;Preço de Ajuste para ICF;118,45
2020-08-14;ICF;KCH1 - Spot;Preço de Spot para ICF;118,45
2020-08-14;ICF;KCH2 - Ajuste;Preço de Ajuste para ICF;122,35
2020-08-14;ICF;KCH2 - Spot;Preço de Spot para ICF;122,35
2020-08-14;ICF;KCH3 - Ajuste;Preço de Ajuste para ICF;126,7
2020-08-14;ICF;KCH3 - Spot;Preço de Spot para ICF;126,7
2020-08-14;ICF;KCK1 - Ajuste;Preço de Ajuste para ICF;119,25
2020-08-14;ICF;KCK1 - Spot;Preço de Spot para ICF;119,25
2020-08-14;ICF;KCK2 - Ajuste;Preço de Ajuste para ICF;123,1
2020-08-14;ICF;KCK2 - Spot;Preço de Spot para ICF;123,1
2020-08-14;ICF;KCK3 - Ajuste;Preço de Ajuste para ICF;127,55
2020-08-14;ICF;KCK3 - Spot;Preço de Spot para ICF;127,55
2020-08-14;ICF;KCN1 - Ajuste;Preço de Ajuste para ICF;119,95
2020-08-14;ICF;KCN1 - Spot;Preço de Spot para ICF;119,95
2020-08-14;ICF;KCN2 - Ajuste;Preço de Ajuste para ICF;123,85
2020-08-14;ICF;KCN2 - Spot;Preço de Spot para ICF;123,85
2020-08-14;ICF;KCN3 - Ajuste;Preço de Ajuste para ICF;127,8
2020-08-14;ICF;KCN3 - Spot;Preço de Spot para ICF;127,8
2020-08-14;ICF;KCU0 - Ajuste;Preço de Ajuste para ICF;114,7
2020-08-14;ICF;KCU0 - Spot;Preço de Spot para ICF;114,7
2020-08-14;ICF;KCU1 - Ajuste;Preço de Ajuste para ICF;120,55
2020-08-14;ICF;KCU1 - Spot;Preço de Spot para ICF;120,55
2020-08-14;ICF;KCU2 - Ajuste;Preço de Ajuste para ICF;124,6
2020-08-14;ICF;KCU2 - Spot;Preço de Spot para ICF;124,6
2020-08-14;ICF;KCZ0 - Ajuste;Preço de Ajuste para ICF;116,45
2020-08-14;ICF;KCZ0 - Spot;Preço de Spot para ICF;116,45
2020-08-14;ICF;KCZ1 - Ajuste;Preço de Ajuste para ICF;121,45
2020-08-14;ICF;KCZ1 - Spot;Preço de Spot para ICF;121,45
2020-08-14;ICF;KCZ2 - Ajuste;Preço de Ajuste para ICF;125,7
2020-08-14;ICF;KCZ2 - Spot;Preço de Spot para ICF;125,7
2020-08-14;IMV;IMVLIQ;MERVAL INDEX - LIQUIDAÇÃO;49070
2020-08-14;IMV;MYLQ0 - Ajuste;Preço de Ajuste para IMV;49070
2020-08-14;IMV;MYLU0 - Ajuste;Preço de Ajuste para IMV;50015
2020-08-14;IMV;MYLZ0 - Ajuste;Preço de Ajuste para IMV;52913
2020-08-14;IND;RTIBVPL;ÍNDICE BOVESPA - LIQUIDAÇÃO;101220
2020-08-14;INK;INKLIQ;NIKKEY INDEX - LIQUIDAÇÃO;23350,79
2020-08-14;INK;NHF1 - Ajuste;Preço de Ajuste para INK;22990
2020-08-14;INK;NHH1 - Ajuste;Preço de Ajuste para INK;22915
2020-08-14;INK;NHH2 - Ajuste;Preço de Ajuste para INK;22465
