RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-07-22;AALR3;BRAALRACNOR6;AALR;1827792;10,9122388;1;19945302,89
2020-07-22;AAPL34;BRAAPLBDR004;AAPL;190;207,5636842;1;39437,1
2020-07-22;ABCB4;BRABCBACNPR4;ABCB;2530300;14,4526743;1;36569601,86
2020-07-22;ABEV3;BRABEVACNOR1;ABEV;119957250;13,9777232;1;1676729239,26
2020-07-22;ADHM3;BRADHMACNOR9;ADHM;100;2,41;1;241
2020-07-22;AGRO3;BRAGROACNOR7;AGRO;381783;21,1198848;1;8063212,99
2020-07-22;ALPA3;BRALPAACNOR0;ALPA;337;24,2723442;1;8179,78
2020-07-22;ALPA4;BRALPAACNPR7;ALPA;3000554;28,8794572;1;86654371,04
2020-07-22;ALPK3;BRALPKACNOR9;ALPK;8177;9,5974232;1;78478,13
2020-07-22;ALSO3;BRALSOACNOR5;ALSO;4021875;29,0820286;1;116964283,97
2020-07-22;ALUP11;BRALUPCDAM15;ALUP;2853121;23,9344311;1;68287828,18
2020-07-22;ALUP3;BRALUPACNOR8;ALUP;4000;9,7395;1;38958
2020-07-22;ALUP4;BRALUPACNPR5;ALUP;810;7,1376913;1;5781,53
2020-07-22;AMAR3;BRAMARACNOR4;AMAR;8589174;8,2063571;1;70485829,77
2020-07-22;AMBP3;BRAMBPACNOR6;AMBP;48216;30,2480211;1;1458438,59
2020-07-22;AMZO34;BRAMZOBDR002;AMZO;20;7992,27;1;159845,4
2020-07-22;ANIM3;BRANIMACNOR6;ANIM;2681943;25,0795039;1;67261800,03
2020-07-22;APER3;BRAPERACNOR9;APER;63617;32,5591969;1;2071318,43
2020-07-22;ARZZ3;BRARZZACNOR3;ARZZ;3423070;51,0576939;1;174774060,53
2020-07-22;ATMP3;BRATMPACNOR8;ATMP;68;4,9616176;1;337,39
2020-07-22;ATOM3;BRATOMACNOR1;ATOM;2180;2,0661422;1;4504,19
2020-07-22;AURA32;BRAURABDR001;AURA;143568;820;1;117725760
2020-07-22;AZEV3;BRAZEVACNOR0;AZEV;183;13,84;1;2532,72
2020-07-22;AZEV4;BRAZEVACNPR7;AZEV;9885;4,7133181;1;46591,15
2020-07-22;AZUL4;BRAZULACNPR4;AZUL;18827056;21,7404613;1;409308883,45
2020-07-22;B3SA3;BRB3SAACNOR6;B3SA;18546746;57,3304995;1;1063294212,65
2020-07-22;BAHI3;BRBAHIACNOR1;BAHI;101;88;1;8888
2020-07-22;BAUH4;BRBAUHACNPR3;BAUH;1;88,55;1;88,55
2020-07-22;BAZA3;BRBAZAACNOR0;BAZA;13;35,92;1;466,96
2020-07-22;BBAS3;BRBBASACNOR3;BBAS;20728171;32,1037701;1;665452436,61
2020-07-22;BBDC3;BRBBDCACNOR1;BBDC;11128131;19,6119035;1;218243831,939033
2020-07-22;BBDC4;BRBBDCACNPR8;BBDC;154152209;21,9043985;1;3376611430,47464
2020-07-22;BBRK3;BRBBRKACNOR4;BBRK;794664;2,5415821;1;2019703,81
2020-07-22;BBSD11;BRBBSDCTF000;BBSD;50;79,84;1;3992
2020-07-22;BBSE3;BRBBSEACNOR5;BBSE;14615852;27,9453946;1;408445751,75
2020-07-22;BCSA34;BRBCSABDR005;BCSA;14;13,13;1;183,82
2020-07-22;BEEF3;BRBEEFACNOR6;BEEF;13056591;13,4544226;1;175668894,32
2020-07-22;BEES3;BRBEESACNOR9;BEES;1584;6,0221969;1;9539,16
2020-07-22;BERK34;BRBERKBDR002;BERK;10;1020,9;1;10209
2020-07-22;BGIP4;BRBGIPACNPR8;BGIP;52;31,47;1;1636,44
2020-07-22;BIDI11;BRBIDICDAXX3;BIDI;3277701;41,1751769;1;134959918,81
2020-07-22;BIDI3;BRBIDIACNOR3;BIDI;68435;14,9197482;1;1021032,97
2020-07-22;BIDI4;BRBIDIACNPR0;BIDI;3375946;15,3442791;1;51801457,83
2020-07-22;BIOM3;BRBIOMACNOR2;BIOM;14097;17,592897;1;248007,07
2020-07-22;BKBR3;BRBKBRACNOR4;BKBR;9194397;11,2724591;1;103643464,64
2020-07-22;BMEB4;BRBMEBACNPR5;BMEB;200;14,4088;1;2881,76
2020-07-22;BMGB4;BRBMGBACNPR0;BMGB;1790483;5,3312603;1;9545531,04
2020-07-22;BMIN4;BRBMINACNPR1;BMIN;1;19,8;1;19,8
2020-07-22;BOBR4;BRBOBRACNPR3;BOBR;62482;1,7792042;1;111168,24
2020-07-22;BOVA11;BRBOVACTF003;BOVA;71667094;95,2129654;1;6823636547,82
2020-07-22;BOVB11;BRBOVBCTF001;BOVB;26040;101,0173924;1;2630492,9
2020-07-22;BOVV11;BRBOVVCTF009;BOVV;28168674;99,4859913;1;2802388456,95
2020-07-22;BPAC11;BRBPACUNT006;BPAC;2897913;81,886772;1;237300741,11
2020-07-22;BPAC5;BRBPACACNPA0;BPAC;2461;21,7631409;1;53559,09
2020-07-22;BPAN4;BRBPANACNPR1;BPAN;11484010;8,1814678;1;93956058,73
2020-07-22;BRAP3;BRBRAPACNOR5;BRAP;10883;34,7140292;1;377792,78
2020-07-22;BRAP4;BRBRAPACNPR2;BRAP;7615605;38,023003;1;289568172
2020-07-22;BRAX11;BRBRAXCTF002;BRAX;30420;75,9740844;1;2311131,65
2020-07-22;BRDT3;BRBRDTACNOR1;BRDT;7590181;21,0022571;1;159410933,08
2020-07-22;BRFS3;BRBRFSACNOR8;BRFS;27395686;20,7151981;1;567507064,23
2020-07-22;BRKM3;BRBRKMACNOR1;BRKM;3600;24,7072222;1;88946
2020-07-22;BRKM5;BRBRKMACNPA4;BRKM;22511311;24,4581231;1;550584415,97
2020-07-22;BRML3;BRBRMLACNOR9;BRML;68831177;10,956628;1;754157604,96
2020-07-22;BRPR3;BRBRPRACNOR9;BRPR;10988945;9,2330321;1;101461282,26
2020-07-22;BRSR3;BRBRSRACNOR3;BRSR;100;17,86;1;1786
2020-07-22;BRSR6;BRBRSRACNPB4;BRSR;5220721;14,4744975;1;75567313,22
2020-07-22;BSEV3;BRBSEVACNOR3;BSEV;42157;3,6836356;1;155291,03
2020-07-22;BTOW3;BRBTOWACNOR8;BTOW;5504685;110,8775383;1;610345922,37
2020-07-22;CAMB3;BRCAMBACNOR4;CAMB;107666;4,697861;1;505799,91
2020-07-22;CAML3;BRCAMLACNOR3;CAML;5205611;11,2927692;1;58785763,7
2020-07-22;CARD3;BRCARDACNOR9;CARD;278358;12,1528623;1;3382846,47
2020-07-22;CCPR3;BRCCPRACNOR9;CCPR;209140;15,6721532;1;3277674,13
2020-07-22;CCRO3;BRCCROACNOR2;CCRO;32438234;14,6180073;1;474182342,95
2020-07-22;CEAB3;BRCEABACNOR1;CEAB;2317580;10,646808;1;24674829,34
2020-07-22;CESP3;BRCESPACNOR3;CESP;11422;32,8504535;1;375217,88
2020-07-22;CESP6;BRCESPACNPB4;CESP;2925194;28,2322271;1;82584741,58
2020-07-22;CGAS5;BRCGASACNPA3;CGAS;4140;179,0478502;1;741258,1
2020-07-22;CGRA3;BRCGRAACNOR2;CGRA;501;25,5118163;1;12781,42
2020-07-22;CGRA4;BRCGRAACNPR9;CGRA;7800;24,0957692;1;187947
2020-07-22;CIEL3;BRCIELACNOR3;CIEL;102614781;4,9839486;1;511426801,52
2020-07-22;CLSC4;BRCLSCACNPR3;CLSC;405;58,0319753;1;23502,95
2020-07-22;CMCS34;BRCMCSBDR008;CMCS;80;226,97875;1;18158,3
2020-07-22;CMIG3;BRCMIGACNOR6;CMIG;3949526;11,6323427;1;45942240,14
2020-07-22;CMIG4;BRCMIGACNPR3;CMIG;48740018;11,1378497;1;542858997,76
2020-07-22;CNTO3;BRCNTOACNOR5;CNTO;4147789;32,4289693;1;134508522,15
2020-07-22;COCE5;BRCOCEACNPA3;COCE;27076;59,9945715;1;1624413,02
2020-07-22;COGN3;BRCOGNACNOR2;COGN;148050391;7,848637;1;1161993779,28
2020-07-22;COPH34;BRCOPHBDR009;COPH;366;55;1;20130
2020-07-22;CPFE3;BRCPFEACNOR0;CPFE;6437690;30,9830562;1;199459311,57
2020-07-22;CPLE3;BRCPLEACNOR8;CPLE;255398;59,4994725;1;15196046,3
