RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-08-06;AALR3;BRAALRACNOR6;AALR;15;201544;2184736,96;0,1600%;0,3200%;0,3800%;0,2200%;0,5400%;1,3300%
2020-08-06;ABCB4;BRABCBACNPR4;ABCB;10;26476;368016,4;0,1900%;0,2800%;0,3800%;0,4300%;0,5100%;1,2000%
2020-08-06;ABEV3;BRABEVACNOR1;ABEV;108;2320702;30795715,54;0,0400%;0,0800%;0,2200%;0,0400%;0,2500%;1,0800%
2020-08-06;AGRO3;BRAGROACNOR7;AGRO;3;1142;23159,76;0,0200%;0,0400%;0,0500%;0,1000%;0,1800%;0,8000%
2020-08-06;ALPA4;BRALPAACNPR7;ALPA;96;521192;17517263,12;0,1000%;0,2300%;0,5000%;0,1200%;0,3800%;1,6500%
2020-08-06;ALSO3;BRALSOACNOR5;ALSO;13;120100;3327971;0,1500%;0,3000%;0,3400%;0,2500%;0,4400%;1,5000%
2020-08-06;ALUP11;BRALUPCDAM15;ALUP;10;26008;626792,8;0,0900%;0,1200%;0,2500%;0,2500%;0,3500%;1,2000%
2020-08-06;AMAR3;BRAMARACNOR4;AMAR;34;1135684;8722053,12;0,1500%;0,2400%;0,4000%;0,2200%;0,3900%;2,0500%
2020-08-06;AMBP3;BRAMBPACNOR6;AMBP;27;38460;1087648,8;0,2500%;0,3000%;0,3000%;0,3000%;0,5500%;0,5500%
2020-08-06;AMZO34;BRAMZOBDR002;AMZO;1;10;84731,9;3,6000%;3,6000%;3,6000%;6,0000%;6,0000%;6,0000%
2020-08-06;ANIM3;BRANIMACNOR6;ANIM;15;73382;2035616,68;0,1600%;0,2400%;0,3800%;0,2200%;0,3900%;1,0000%
2020-08-06;APER3;BRAPERACNOR9;APER;1;1351;39611,32;0,3500%;0,3500%;0,3500%;0,5500%;0,5500%;0,5500%
2020-08-06;ARZZ3;BRARZZACNOR3;ARZZ;24;214164;11339983,8;0,1000%;0,2400%;0,5000%;0,1000%;0,2800%;0,9000%
2020-08-06;ATOM3;BRATOMACNOR1;ATOM;3;18092;65673,96;0,5500%;2,8000%;3,0000%;0,5500%;4,6300%;5,0000%
2020-08-06;AZUL4;BRAZULACNPR4;AZUL;77;892201;17915396,08;0,1000%;0,3600%;0,4300%;0,1000%;0,4600%;2,0000%
2020-08-06;B3SA3;BRB3SAACNOR6;B3SA;47;639316;40743608,68;0,0200%;0,0600%;0,2500%;0,0400%;0,1000%;1,5000%
2020-08-06;BBAS3;BRBBASACNOR3;BBAS;77;1299737;43476202,65;0,0400%;0,0800%;0,2500%;0,0600%;0,1900%;1,5000%
2020-08-06;BBDC3;BRBBDCACNOR1;BBDC;19;214302;4311756,24;0,0300%;0,0600%;0,3100%;0,0600%;0,3000%;1,4500%
2020-08-06;BBDC4;BRBBDCACNPR8;BBDC;142;7952461;173204600,58;0,0200%;0,0400%;0,1000%;0,0200%;0,0800%;2,1000%
2020-08-06;BBRK3;BRBBRKACNOR4;BBRK;5;103600;229992;0,9200%;0,9200%;1,2100%;2,0200%;3,6600%;3,7000%
2020-08-06;BBSE3;BRBBSEACNOR5;BBSE;94;745774;21165066,12;0,0600%;0,1700%;3,3000%;0,1500%;2,0700%;6,0000%
2020-08-06;BEEF3;BRBEEFACNOR6;BEEF;47;1190285;15878401,9;0,0800%;0,2000%;0,3400%;0,1000%;0,3500%;1,5000%
2020-08-06;BIDI11;BRBIDICDAXX3;BIDI;11;120805;7508030,75;1,3600%;5,2300%;5,5000%;1,3600%;5,8200%;6,8000%
2020-08-06;BIDI3;BRBIDIACNOR3;BIDI;3;30163;596020,88;8,0700%;11,9800%;12,0000%;11,5300%;14,9800%;15,0000%
2020-08-06;BIDI4;BRBIDIACNPR0;BIDI;34;64690;1361724,5;0,1000%;0,6700%;1,2100%;0,1000%;1,9100%;3,0000%
2020-08-06;BIOM3;BRBIOMACNOR2;BIOM;2;200;3270;0,1600%;0,2100%;0,2500%;0,3100%;0,8000%;1,2800%
2020-08-06;BKBR3;BRBKBRACNOR4;BKBR;31;504760;5289884,8;1,8100%;3,5800%;3,8000%;2,8800%;3,7900%;7,1100%
2020-08-06;BMGB4;BRBMGBACNPR0;BMGB;6;69810;343465,2;0,1400%;1,6300%;2,0000%;0,3000%;5,2400%;6,5000%
2020-08-06;BOVA11;BRBOVACTF003;BOVA;700;2072075;205425515,5;0,0100%;1,1700%;3,0000%;1,0000%;1,8400%;5,0000%
2020-08-06;BOVB11;BRBOVBCTF001;BOVB;3;212540;21891620;0,1000%;0,1000%;0,1000%;0,1500%;0,1500%;0,1500%
2020-08-06;BOVV11;BRBOVVCTF009;BOVV;88;191403;19794898,26;0,4100%;0,8000%;0,9000%;0,8000%;0,9000%;2,1000%
2020-08-06;BPAC11;BRBPACUNT006;BPAC;29;43500;3842355;0,2000%;0,3900%;0,6700%;0,2500%;0,7900%;2,5000%
2020-08-06;BPAC5;BRBPACACNPA0;BPAC;1;100;1886;2,8200%;2,8200%;2,8200%;4,4300%;4,4300%;4,4300%
2020-08-06;BPAN4;BRBPANACNPR1;BPAN;30;938233;9269742,04;0,0600%;0,1400%;0,2400%;0,1000%;0,2100%;1,1000%
2020-08-06;BRAP3;BRBRAPACNOR5;BRAP;3;1200;47676;0,3200%;0,5100%;0,6000%;0,6500%;0,8700%;1,0000%
2020-08-06;BRAP4;BRBRAPACNPR2;BRAP;33;298432;13196663,04;0,0400%;0,1200%;0,4000%;0,0500%;0,2000%;1,0000%
2020-08-06;BRDT3;BRBRDTACNOR1;BRDT;23;1086652;23699880,12;0,0700%;0,1000%;0,1500%;0,1500%;0,6700%;1,0000%
2020-08-06;BRFS3;BRBRFSACNOR8;BRFS;52;862998;17708718,96;0,0100%;0,0500%;0,1500%;0,0100%;0,1000%;0,8000%
2020-08-06;BRKM5;BRBRKMACNPA4;BRKM;114;1799638;42273496,62;0,1500%;2,7000%;3,9500%;0,8000%;3,3100%;7,8000%
2020-08-06;BRML3;BRBRMLACNOR9;BRML;112;2494689;25296146,46;0,0600%;0,1000%;0,1200%;0,0800%;0,1400%;1,0000%
2020-08-06;BRPR3;BRBRPRACNOR9;BRPR;13;84180;789608,4;0,2600%;0,4400%;0,5800%;0,5000%;0,7400%;2,0000%
2020-08-06;BRSR6;BRBRSRACNPB4;BRSR;14;19509;268834,02;0,0900%;0,1900%;0,3900%;0,1800%;0,5300%;1,3000%
2020-08-06;BSEV3;BRBSEVACNOR3;BSEV;2;1945;6885,3;1,1400%;1,7500%;1,8000%;2,8200%;2,9900%;3,0000%
2020-08-06;BTOW3;BRBTOWACNOR8;BTOW;41;123766;15172473,94;0,1000%;0,2800%;1,2600%;0,5500%;1,3700%;3,5000%
2020-08-06;CAML3;BRCAMLACNOR3;CAML;7;208690;2537670,4;0,1200%;0,2000%;0,4100%;0,5300%;1,5900%;1,6000%
2020-08-06;CARD3;BRCARDACNOR9;CARD;3;27325;355771,5;0,9500%;1,2000%;1,2000%;1,9300%;2,0000%;3,5000%
2020-08-06;CCPR3;BRCCPRACNOR9;CCPR;5;16187;239243,86;0,1200%;0,2600%;0,6000%;0,5300%;0,7200%;1,0000%
2020-08-06;CCRO3;BRCCROACNOR2;CCRO;114;4472763;63915783,27;0,0800%;0,1300%;0,1600%;0,1000%;0,1700%;2,0000%
2020-08-06;CEAB3;BRCEABACNOR1;CEAB;17;104503;1030399,58;0,1400%;0,1600%;0,2800%;0,2000%;0,3400%;1,0000%
2020-08-06;CESP6;BRCESPACNPB4;CESP;17;140960;4407819,2;0,0700%;0,1300%;0,1500%;0,1500%;0,1700%;1,2000%
2020-08-06;CGAS5;BRCGASACNPA3;CGAS;1;200;37744;2,0000%;2,0000%;2,0000%;4,0000%;4,0000%;4,0000%
2020-08-06;CGRA4;BRCGRAACNPR9;CGRA;1;100;2578;1,8000%;1,8000%;1,8000%;3,0000%;3,0000%;3,0000%
2020-08-06;CIEL3;BRCIELACNOR3;CIEL;269;11952575;61077658,25;0,1000%;0,6900%;0,9000%;0,1000%;0,7900%;2,6500%
2020-08-06;CMIG3;BRCMIGACNOR6;CMIG;9;345357;3864544,83;0,2000%;0,3200%;1,4300%;0,7500%;1,6000%;3,2000%
2020-08-06;CMIG4;BRCMIGACNPR3;CMIG;102;1518966;16723815,66;0,0400%;0,0700%;0,1000%;0,0800%;0,1100%;1,5000%
2020-08-06;CNTO3;BRCNTOACNOR5;CNTO;32;508134;15111905,16;0,1000%;0,1600%;0,3400%;0,1000%;0,2800%;1,1800%
2020-08-06;COCE5;BRCOCEACNPA3;COCE;1;63;4097,52;0,5300%;0,5300%;0,5300%;0,7600%;0,7600%;0,7600%
2020-08-06;COGN3;BRCOGNACNOR2;COGN;121;7788244;57788770,48;1,6200%;5,2900%;8,1000%;1,6200%;6,5400%;12,7300%
2020-08-06;CPFE3;BRCPFEACNOR0;CPFE;29;89755;2760863,8;0,0800%;0,1000%;0,1900%;0,1000%;0,1900%;0,9000%
2020-08-06;CPLE3;BRCPLEACNOR8;CPLE;9;23470;1418761,5;0,2200%;0,6400%;1,0000%;0,6000%;1,2900%;3,0000%
2020-08-06;CPLE6;BRCPLEACNPB9;CPLE;21;234642;14212265,94;0,0500%;0,2000%;0,4400%;0,2800%;0,4700%;1,4000%
2020-08-06;CRFB3;BRCRFBACNOR2;CRFB;51;569770;12346915,9;0,3300%;0,5100%;0,5500%;0,5500%;1,3600%;3,3000%
2020-08-06;CSAN3;BRCSANACNOR6;CSAN;100;1283519;112936836,81;0,1000%;1,2900%;1,5000%;0,1000%;1,8900%;3,2000%
2020-08-06;CSMG3;BRCSMGACNOR5;CSMG;19;13340;702884,6;0,0900%;0,1200%;0,3900%;0,1700%;0,4900%;1,0600%
2020-08-06;CSNA3;BRCSNAACNOR6;CSNA;141;917468;12064704,2;0,0500%;0,1600%;0,2700%;0,0800%;0,3000%;1,0000%
2020-08-06;CTNM4;BRCTNMACNPR6;CTNM;2;2105;12398,45;2,5000%;2,8700%;3,5000%;3,0500%;3,7700%;5,0000%
2020-08-06;CVCB3;BRCVCBACNOR1;CVCB;110;1331235;25865896,05;0,1000%;14,5400%;20,0000%;0,1000%;18,6700%;36,9700%
2020-08-06;CYRE3;BRCYREACNOR7;CYRE;43;1216861;31857420,98;0,0900%;0,1600%;0,2000%;0,1000%;0,4600%;0,7800%
2020-08-06;DIRR3;BRDIRRACNOR0;DIRR;14;273087;4183692,84;0,8600%;1,5400%;2,5400%;2,1000%;2,5600%;5,0000%
2020-08-06;DMMO3;BRDMMOACNOR0;DMMO;7;5034;6795,9;2,0500%;6,3500%;7,3500%;5,0900%;8,9100%;12,7000%
2020-08-06;DTEX3;BRDTEXACNOR3;DTEX;33;1402707;22667745,12;0,1400%;0,2700%;0,3800%;0,3000%;0,4300%;0,9800%
2020-08-06;ECOR3;BRECORACNOR8;ECOR;39;903586;12623096,42;0,0900%;0,1500%;0,2700%;0,1500%;0,3000%;1,5000%
2020-08-06;EGIE3;BREGIEACNOR9;EGIE;77;433975;19793599,75;0,0400%;0,2300%;0,4000%;0,2000%;0,3400%;117,0800%
2020-08-06;ELET3;BRELETACNOR6;ELET;33;518942;19273505,88;0,0600%;0,1100%;0,1500%;0,1200%;0,2800%;1,5500%
2020-08-06;ELET6;BRELETACNPB7;ELET;79;1331247;51079947,39;0,0600%;0,1400%;1,0000%;0,1000%;0,2700%;2,2000%
2020-08-06;EMBR3;BREMBRACNOR4;EMBR;181;2069714;15543552,14;0,1000%;0,3400%;1,0000%;0,3000%;0,8000%;2,5000%
