RptDt;PRFNm;VrtxCd;ScnroId;PRFVal;TpShck
2020-08-17;A1AP34;102;9998;221,23;M
2020-08-17;A1AP34;102;9999;298,572;M
2020-08-17;A1AP34;102;10000;154,1884;M
2020-08-17;A1BM34;100;9998;426,19;M
2020-08-17;A1BM34;100;9999;634,3752;M
2020-08-17;A1BM34;100;10000;262,908;M
2020-08-17;A1DI34;102;9998;323,7;M
2020-08-17;A1DI34;102;9999;423,8139;M
2020-08-17;A1DI34;102;10000;235,0062;M
2020-08-17;A1DM34;102;9998;244,82;M
2020-08-17;A1DM34;102;9999;329,5864;M
2020-08-17;A1DM34;102;10000;179,6782;M
2020-08-17;A1DM34;103;9998;226,1285;M
2020-08-17;A1DM34;103;9999;304,4232;M
2020-08-17;A1DM34;103;10000;165,9602;M
2020-08-17;A1EE34;102;9998;224,81;M
2020-08-17;A1EE34;102;9999;283,7641;M
2020-08-17;A1EE34;102;10000;163,8055;M
2020-08-17;A1EN34;103;9998;297,35;M
2020-08-17;A1EN34;103;9999;372,3297;M
2020-08-17;A1EN34;103;10000;234,9778;M
2020-08-17;A1EP34;103;9998;224,4;M
2020-08-17;A1EP34;103;9999;280,7333;M
2020-08-17;A1EP34;103;10000;176,145;M
2020-08-17;A1ES34;103;9998;97,19;M
2020-08-17;A1ES34;103;9999;135,0863;M
2020-08-17;A1ES34;103;10000;70,3888;M
2020-08-17;A1FL34;102;9998;206,07;M
2020-08-17;A1FL34;102;9999;308,5774;M
2020-08-17;A1FL34;102;10000;123,1309;M
2020-08-17;A1FL34;103;9998;208,0295;M
2020-08-17;A1FL34;103;9999;311,5116;M
2020-08-17;A1FL34;103;10000;124,3017;M
2020-08-17;A1GI34;102;9998;267,7;M
2020-08-17;A1GI34;102;9999;347,1961;M
2020-08-17;A1GI34;102;10000;203,0665;M
2020-08-17;A1GN34;102;9998;283,16;M
2020-08-17;A1GN34;102;9999;356,4644;M
2020-08-17;A1GN34;102;10000;215,5413;M
2020-08-17;A1IV34;103;9998;202,13;M
2020-08-17;A1IV34;103;9999;289,3207;M
2020-08-17;A1IV34;103;10000;122,0218;M
2020-08-17;A1JG34;102;9998;293,69;M
2020-08-17;A1JG34;102;9999;388,4696;M
2020-08-17;A1JG34;102;10000;201,0719;M
2020-08-17;A1KA34;100;9998;297,76;M
2020-08-17;A1KA34;100;9999;430,5371;M
2020-08-17;A1KA34;100;10000;195,4734;M
2020-08-17;A1LB34;102;9998;504,66;M
2020-08-17;A1LB34;102;9999;677,1326;M
2020-08-17;A1LB34;102;10000;374,3769;M
2020-08-17;A1LG34;100;9998;426,63;M
2020-08-17;A1LG34;100;9999;709,0931;M
2020-08-17;A1LG34;100;10000;246,6604;M
2020-08-17;A1LK34;101;9998;199,84;M
2020-08-17;A1LK34;101;9999;332,5977;M
2020-08-17;A1LK34;101;10000;135,9391;M
2020-08-17;A1LL34;103;9998;64,97;M
2020-08-17;A1LL34;103;9999;91,3945;M
2020-08-17;A1LL34;103;10000;36,9341;M
2020-08-17;A1LX34;100;9998;281,6;M
2020-08-17;A1LX34;100;9999;392,3476;M
2020-08-17;A1LX34;100;10000;179,6608;M
2020-08-17;A1MB34;102;9998;285,15;M
2020-08-17;A1MB34;102;9999;360,8858;M
2020-08-17;A1MB34;102;10000;219,5655;M
2020-08-17;A1MB34;103;9998;284,41;M
2020-08-17;A1MB34;103;9999;359,9492;M
2020-08-17;A1MB34;103;10000;218,9957;M
2020-08-17;A1MD34;100;9998;453,92;M
2020-08-17;A1MD34;100;9999;709,2046;M
2020-08-17;A1MD34;100;10000;294,3943;M
2020-08-17;A1ME34;102;9998;278,99;M
2020-08-17;A1ME34;102;9999;359,6515;M
2020-08-17;A1ME34;102;10000;210,1575;M
2020-08-17;A1MP34;103;9998;217,64;M
2020-08-17;A1MP34;103;9999;338,0906;M
2020-08-17;A1MP34;103;10000;143,8339;M
2020-08-17;A1MT34;102;9998;368,89;M
2020-08-17;A1MT34;102;9999;472,6513;M
2020-08-17;A1MT34;102;10000;269,4372;M
2020-08-17;A1NE34;100;9998;295,64;M
2020-08-17;A1NE34;100;9999;430,4518;M
2020-08-17;A1NE34;100;10000;186,7971;M
2020-08-17;A1NS34;100;9998;437,06;M
2020-08-17;A1NS34;100;9999;577,1289;M
2020-08-17;A1NS34;100;10000;322,3055;M
2020-08-17;A1NT34;102;9998;311,65;M
2020-08-17;A1NT34;102;9999;420,2537;M
2020-08-17;A1NT34;102;10000;193,0734;M
2020-08-17;A1ON34;103;9998;271,81;M
2020-08-17;A1ON34;103;9999;355,8753;M
2020-08-17;A1ON34;103;10000;193,0285;M
2020-08-17;A1OS34;103;9998;273,34;M
2020-08-17;A1OS34;103;9999;358,1847;M
2020-08-17;A1OS34;103;10000;201,5718;M
2020-08-17;A1PA34;103;9998;84,82;M
