RptDt;CrpnCd;TckrSymb;ISIN;CrpnNm;OTCSgmtNm;MktNm;Law12431SpprtInd;SrsIdCd;IsseNb;InstrmRmnrtnTp;IntrstParamsPctg;IntrstPctgRate;BaseIntrstRate;XprtnDt;IssdQty;IsseUnitPric;EmssnRstrctdWorkInd
2020-07-21;EPCH;0090905SSA;BREPCHCTF009;ENERGIA PCH - FIP MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;1;Sem Indice;;;;2024-09-15;210;21921792,9;false
2020-07-21;EPCH;0090908PCH;BREPCHCTF009;ENERGIA PCH - FIP MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;3;Sem Indice;;;;2024-09-15;400;;false
2020-07-21;EPCH;0090909PCH;;ENERGIA PCH - FIP MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;4;Sem Indice;;;;2024-09-15;498;66000000;true
2020-07-21;EPCH;0090909PH5;;ENERGIA PCH - FIP MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;5;Sem Indice;;;;2024-09-15;227;29914497,61;true
2020-07-21;EPCH;0090910PH6;;ENERGIA PCH - FIP MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;6;Sem Indice;;;;2024-09-15;759;100000000;true
2020-07-21;EPCH;0090910PH7;BREPCHCTF009;ENERGIA PCH - FIP MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;7;Sem Indice;;;;2024-09-15;1530;200000000;true
2020-07-21;EPCH;0090912PCH;BREPCHCTF009;ENERGIA PCH - FIP MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;8;Sem Indice;;;;2024-09-15;539;70000000;true
2020-07-21;EPCH;0090917PCH;BREPCHCTF009;ENERGIA PCH - FIP MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;9;Sem Indice;;;;2024-09-15;;6197292,07;true
2020-07-21;FIPG;0097804FIP;BRFIPGCTF005;INVESTIDORES INSTITUCIONAIS II - FUNDO DE INVESTIMENTO EM PARTICIPACOES;CFF;Valores Mobiliários;false;1;1;Sem Indice;;;;2021-03-28;;300000000;false
2020-07-21;FIPB;0111405FBE;BRFIPBCTF006;FIP BRASIL ENERGIA MULTIESTRATEGIA;CFF;Valores Mobiliários;false;1;1;Sem Indice;;;;2020-12-28;60000;1200000000;false
