RptDt;TckrSymb;ISIN;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-11;11H0016706;BRRBCSCRI253;539,899295;539,899295;539,899295;539,899295;;;1;596
2020-08-11;12J0037879;BRRBRACRI1X3;1071,708959;1076,914764;1075,179495;1076,914764;;;3;204
2020-08-11;16F0071780;BRAPCSCRI218;350,89;350,89;350,89;350,89;;;1;1
2020-08-11;16G0000001;BRRBRACRI3O8;967,356997;967,356997;967,356997;967,356997;;;4;248
2020-08-11;16G0650890;BRGAIACRI3A2;417,542533;417,567797;417,555165;417,542533;;;2;450
2020-08-11;16H0268853;BRRBRACRI325;876,396561;876,496561;876,463227;876,496561;;;3;120
2020-08-11;16I0965158;BRRBRACRI3Q3;947,3625;966,1125;956,7375;947,3625;;;2;12
2020-08-11;16L0074884;BRCBSCCRI3T1;964,44;978,868293;973,146124;964,44;;;3;223
2020-08-11;17C0000201;BRRBRACRI465;979,76424;979,76424;979,76424;979,76424;;;5;606
2020-08-11;17F0023368;BRCBSCCRI487;944,572089;944,572089;944,572089;944,572089;;;1;309
2020-08-11;17H0894273;BRAPCSCRI2V5;1105,935955;1111,524883;1108,730419;1111,524883;;;4;772
2020-08-11;17I0000201;BRRBRACRI4D9;949,443619;949,443619;949,443619;949,443619;;;1;264
2020-08-11;17I0181214;BRHBSCCRI254;367,410356;367,410356;367,410356;367,410356;;;1;187
2020-08-11;17I0905011;BRAPCSCRI2R3;1190,40832;1191,927419;1191,547644;1191,927419;;;12;586
2020-08-11;17J0000001;BRRBRACRI4F4;973,228441;973,228441;973,228441;973,228441;;;4;106
2020-08-11;17J0040025;BRAPCSCRI2Z6;598,43;674,316421;672,331212;598,43;;;69;2697
2020-08-11;17K0231156;BRRBRACRI4L2;887,247404;887,247404;887,247404;887,247404;;;2;50
2020-08-11;18C0682649;BRRBRACRI4T5;975,081839;992,13;982,063946;992,13;;;6;748
2020-08-11;18C0797834;BRFSECCRI419;885,144095;885,144095;885,144095;885,144095;;;1;1
2020-08-11;18E0907339;BRBZRSCRI098;659,6779;659,6779;659,6779;659,6779;;;5;380
2020-08-11;18E0915989;BRIMWLCRI0U9;1002,457941;1002,8045;1002,727202;1002,8045;;;17;1096
2020-08-11;18G0687521;BRRBRACRI4Y5;1160,814677;1160,814677;1160,814677;1160,814677;;;2;218
2020-08-11;18H0014828;BRAPCSCRI3D1;958,09;958,09;958,09;958,09;;;1;61
2020-08-11;18J0673053;BROSECCRI072;390,659273;390,796052;390,727662;390,659273;;;2;728
2020-08-11;18K0000201;BRAPCSCRI4C1;961,923977;971,357584;967,824711;969,63;;;31;745
2020-08-11;18L0541633;BRAPCSCRI4N8;908,89;1074,9;1049,490886;1069,05;;;16;260
2020-08-11;18L1085825;BRRBRACRI523;948,863737;948,863737;948,863737;948,863737;;;1;101
2020-08-11;18L1085826;BRRBRACRI549;1112,059482;1157,471817;1135,670726;1145,526998;;;10;1021
2020-08-11;18L1168429;BRFSECCRI5X2;967,155789;967,273437;967,214613;967,273437;;;2;102
2020-08-11;19C0216515;BRRBRACRI5L9;914,216795;914,216795;914,216795;914,216795;;;2;546
2020-08-11;19D1329253;BROSECCRI0E2;957,234162;957,834162;957,624162;957,834162;;;4;70
2020-08-11;19E0959096;BRREICCRI0A9;1120,1892;1126,514752;1123,351976;1120,1892;;;2;90
2020-08-11;19E0967202;BRVERTCRI099;966,379742;966,379742;966,379742;966,379742;;;1;5
2020-08-11;19G0269138;BRAPCSCRI523;964,35;964,35;964,35;964,35;;;1;1
2020-08-11;19G0835159;;1009,299687;1009,539687;1009,479687;1009,539687;;;7;350
2020-08-11;19H0000001;;935,63846;935,63846;935,63846;935,63846;;;1;1
2020-08-11;19H0262186;BRRBRACRI5T2;971,318505;1038,076166;1007,463892;971,318505;;;16;6874
2020-08-11;19I0341801;BRAPCSCRI606;1138,918504;1173,70233;1156,310417;1173,70233;;;2;36
2020-08-11;19I0737680;;911,789899;912,237832;912,014698;911,79323;;;4;770
2020-08-11;19I0737681;;898,066753;898,418055;898,242404;898,066753;;;2;330
2020-08-11;19I0739707;BRIMWLCRI1M4;901,277983;950,994184;926,136083;950,994184;;;2;136
2020-08-11;19K0981679;BRIMWLCRI1O0;1034,164816;1044,353048;1040,95697;1044,353048;;;3;232
2020-08-11;19K1034250;BRRBRACRI697;1011,842009;1012,194951;1012,097259;1012,194951;;;6;240
2020-08-11;19K1124486;BROSECCRI0K9;1003,971448;1004,571448;1004,374641;1004,571448;;;9;200
2020-08-11;19L0816266;;1022,37202;1022,917475;1022,644747;1022,917475;;;2;22
2020-08-11;19L0906443;;1008,414631;1008,414631;1008,414631;1008,414631;;;1;19
2020-08-11;2016415SEN;BRSNGSCTF002;4345,264481;4345,264481;4345,264481;4345,264481;;;2;746
2020-08-11;20A1034935;BRAPCSCRI7H3;1048,805338;1089,32802;1069,066679;1089,32802;;;2;56
2020-08-11;20C1006770;BRAPCSCRI7I1;936,141818;943,955513;940,048665;943,955513;;;2;106
2020-08-11;20E0031084;;1043,432661;1057,032901;1050,232781;1043,432661;;;2;80
2020-08-11;20F0689770;BRASTECRI0J8;1018,92364;1049,769916;1035,124403;1049,769916;;;9;724
2020-08-11;20F0692684;BROSECCRI0N3;1010,186739;1010,286739;1010,261739;1010,286739;;;4;120
2020-08-11;20F0704753;BRTSSACRI0T1;958,722582;976,47;970,348074;961,9745;;;7;114
