RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-14;AFSU20;BRBMEFAFS0K1;FINANCIAL;17401;17401;17401;17401;17407;;1;5
2020-08-14;AFSV20;BRBMEFAFS0L9;FINANCIAL;;;;;17469,8;;;
2020-08-14;AFSX20;BRBMEFAFS0M7;FINANCIAL;;;;;17522,7;;;
2020-08-14;ARBU20;BRBMEFARB0K6;FINANCIAL;;;;;72,192;;;
2020-08-14;ARBV20;BRBMEFARB0L4;FINANCIAL;;;;;68,77;;;
2020-08-14;ARBX20;BRBMEFARB0M2;FINANCIAL;;;;;65,335;;;
2020-08-14;ARSU20;BRBMEFARS094;FINANCIAL;;;;;75243,1;;;
2020-08-14;ARSV20;BRBMEFARS0A8;FINANCIAL;;;;;79054,5;;;
2020-08-14;ARSX20;BRBMEFARS0B6;FINANCIAL;;;;;83270;;;
2020-08-14;AUDU20;BRBMEFAUD3F3;FINANCIAL;;;;;3897,003;;;
2020-08-14;AUDV20;BRBMEFAUD3G1;FINANCIAL;;;;;3900,695;;;
2020-08-14;AUDX20;BRBMEFAUD3H9;FINANCIAL;;;;;3903,758;;;
2020-08-14;AUSU20;BRBMEFAUS0K2;FINANCIAL;716,3;716,8;716,63;716,8;717,422;;2;3
2020-08-14;AUSV20;BRBMEFAUS0L0;FINANCIAL;718;718;718;718;717,496;;1;38
2020-08-14;AUSX20;BRBMEFAUS0M8;FINANCIAL;;;;;717,55;;;
2020-08-14;B3SAOQ20;BRB3SA380014;FINANCIAL;60,64;61,87;61,23;60,64;60,57;;18;5400
2020-08-14;B3SAOU20;BRB3SA390013;FINANCIAL;60,58;62,07;61,05;60,58;60,67;;162;51000
2020-08-14;B3SAOV20;BRB3SA300012;FINANCIAL;;;;;60,75;;;
2020-08-14;BGIF21;BRBMEFBGI5R5;AGRIBUSINESS;;;;;216,7;;;
2020-08-14;BGIG21;BRBMEFBGI5S3;AGRIBUSINESS;;;;;215,15;;;
2020-08-14;BGIH21;BRBMEFBGI5T1;AGRIBUSINESS;;;;;213,3;;;
2020-08-14;BGIJ21;BRBMEFBGI5U9;AGRIBUSINESS;;;;;211,7;;;
2020-08-14;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;220,5;220,5;220,5;220,5;219,05;;3;7
2020-08-14;BGIM21;BRBMEFBGI5Q7;AGRIBUSINESS;219,5;219,5;219,5;219,5;213;;2;10
2020-08-14;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;226,3;227,7;227,18;227,4;227,5;;44;113
2020-08-14;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;222,35;225;224,49;224,95;225,5;;77;135
2020-08-14;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;222,4;224,75;223,95;224,4;224,2;;442;1207
2020-08-14;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;223,35;225,5;224,87;225;225,2;;133;359
2020-08-14;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;225;226;225,74;225,8;225;;8;24
2020-08-14;BRIV20;BRBMEFBRI2V1;FINANCIAL;;;;;16600;;;
2020-08-14;BRIZ20;BRBMEFBRI2W9;FINANCIAL;;;;;16643;;;
2020-08-14;CADU20;BRBMEFCAD3E8;FINANCIAL;;;;;4097,188;;;
2020-08-14;CADV20;BRBMEFCAD3F5;FINANCIAL;;;;;4100,976;;;
2020-08-14;CADX20;BRBMEFCAD3G3;FINANCIAL;;;;;4104,195;;;
2020-08-14;CANU20;BRBMEFCAN0K9;FINANCIAL;1324,4;1324,9;1324,58;1324,9;1325,776;;2;8
2020-08-14;CANV20;BRBMEFCAN0L7;FINANCIAL;1326;1326;1326;1326;1325,67;;1;15
2020-08-14;CANX20;BRBMEFCAN0M5;FINANCIAL;;;;;1325,571;;;
2020-08-14;CCMF21;BRBMEFCCP247;AGRIBUSINESS;57,15;57,84;57,59;57,8;57,7;;235;618
2020-08-14;CCMH21;BRBMEFCCP254;AGRIBUSINESS;55,47;56,13;55,87;55,95;56,35;;91;151
2020-08-14;CCMH22;BRBMEFCCP2A2;AGRIBUSINESS;;;;;48,5;;;
2020-08-14;CCMK21;BRBMEFCCP270;AGRIBUSINESS;54;54;54;54;54,06;;1;1
2020-08-14;CCMN21;BRBMEFCCP288;AGRIBUSINESS;;;;;46,21;;;
2020-08-14;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;57,53;58,71;58,45;58,4;58,48;;2445;5251
2020-08-14;CCMU21;BRBMEFCCP262;AGRIBUSINESS;48,75;49;48,82;48,75;48,75;;31;172
2020-08-14;CCMX20;BRBMEFCCP239;AGRIBUSINESS;56,84;57,8;57,52;57,65;57,58;;736;1361
2020-08-14;CCMX21;BRBMEFCCP296;AGRIBUSINESS;;;;;48,5;;;
2020-08-14;CCROOQ20;BRCCRO380013;FINANCIAL;13,51;13,65;13,62;13,64;13,5;;4;1000
2020-08-14;CCROOU20;BRCCRO390012;FINANCIAL;13,38;13,65;13,53;13,65;13,52;;14;9100
2020-08-14;CCROOV20;BRCCRO300011;FINANCIAL;13,67;13,67;13,67;13,67;13,54;;1;700
2020-08-14;CHFU20;BRBMEFCHF304;FINANCIAL;;;;;5975,745;;;
2020-08-14;CHFV20;BRBMEFCHF312;FINANCIAL;;;;;5986,719;;;
2020-08-14;CHFX20;BRBMEFCHF320;FINANCIAL;;;;;5996,253;;;
2020-08-14;CHLU20;BRBMEFCHL0K4;FINANCIAL;;;;;798360;;;
2020-08-14;CHLV20;BRBMEFCHL0L2;FINANCIAL;;;;;798040,5;;;
