RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-06-26;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;217,5;217,7;217,56;217,55;217,5;;9;99
2020-06-26;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;215,5;216;215,82;215,5;215,25;;9;15
2020-06-26;CCMN20;BRBMEFCCP1X6;AGRIBUSINESS;46,6;46,65;46,61;46,65;46,55;;15;112
2020-06-26;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;44,5;44,75;44,68;44,7;44,47;;30;85
2020-06-26;CCMX20;BRBMEFCCP239;AGRIBUSINESS;47,09;47,1;47,09;47,1;46,75;;2;15
2020-06-26;ICFU20;BRBMEFICF2G5;AGRIBUSINESS;104;104,5;104,11;104,05;104,9;;13;27
2020-06-26;ICFZ20;BRBMEFICF2D2;AGRIBUSINESS;105,95;105,95;105,95;105,95;106,05;;1;39
2020-06-26;ABEV3;BRABEVACNOR1;CASH;;;13,88;;;;136;116800
2020-06-26;ABEV3F;BRABEVACNOR1;ODD LOT;;;13,90;;;;93;1705
2020-06-26;ALPA4;BRALPAACNPR7;CASH;;;28,62;;;;62;15100
2020-06-26;ALPA4F;BRALPAACNPR7;ODD LOT;;;28,60;;;;26;403
2020-06-26;ALSO3;BRALSOACNOR5;CASH;;;27,43;;;;30;5800
2020-06-26;ALSO3F;BRALSOACNOR5;ODD LOT;;;27,44;;;;5;79
2020-06-26;AZUL4;BRAZULACNPR4;CASH;;;20,08;;;;586;324300
2020-06-26;AZUL4F;BRAZULACNPR4;ODD LOT;;;20,10;;;;301;4652
2020-06-26;B3SA3;BRB3SAACNOR6;CASH;;;53,04;;;;169;61500
2020-06-26;B3SA3F;BRB3SAACNOR6;ODD LOT;;;53,05;;;;90;772
2020-06-26;BBAS3;BRBBASACNOR3;CASH;;;31,83;;;;396;204300
2020-06-26;BBAS3F;BRBBASACNOR3;ODD LOT;;;31,88;;;;327;5400
2020-06-26;BBDC3;BRBBDCACNOR1;CASH;;;19,01;;;;116;47300
2020-06-26;BBDC3F;BRBBDCACNOR1;ODD LOT;;;19,02;;;;64;1114
2020-06-26;BBDC4;BRBBDCACNPR8;CASH;;;20,61;;;;950;566800
2020-06-26;BBDC4F;BRBBDCACNPR8;ODD LOT;;;20,64;;;;575;8507
2020-06-26;BBSE3;BRBBSEACNOR5;CASH;;;27,78;;;;148;36700
2020-06-26;BBSE3F;BRBBSEACNOR5;ODD LOT;;;27,85;;;;163;2278
2020-06-26;BEEF3;BRBEEFACNOR6;CASH;;;12,76;;;;60;16800
2020-06-26;BEEF3F;BRBEEFACNOR6;ODD LOT;;;12,83;;;;29;438
2020-06-26;BIDI11;BRBIDICDAXX3;CASH;;;40,83;;;;13;4000
2020-06-26;BIDI11F;BRBIDICDAXX3;ODD LOT;;;40,71;;;;16;28
2020-06-26;BPAC11;BRBPACUNT006;CASH;;;72,19;;;;133;34700
2020-06-26;BPAC11F;BRBPACUNT006;ODD LOT;;;72,34;;;;117;1514
2020-06-26;BPAN4;BRBPANACNPR1;CASH;;;8,99;;;;110;43800
2020-06-26;BPAN4F;BRBPANACNPR1;ODD LOT;;;9,03;;;;56;951
2020-06-26;BRAP4;BRBRAPACNPR2;CASH;;;36,21;;;;50;12300
2020-06-26;BRAP4F;BRBRAPACNPR2;ODD LOT;;;36,32;;;;13;234
2020-06-26;BRDT3;BRBRDTACNOR1;CASH;;;21,19;;;;120;55900
2020-06-26;BRDT3F;BRBRDTACNOR1;ODD LOT;;;21,20;;;;22;135
2020-06-26;BRFS3;BRBRFSACNOR8;CASH;;;21,38;;;;124;49400
2020-06-26;BRFS3F;BRBRFSACNOR8;ODD LOT;;;21,41;;;;55;590
2020-06-26;BRKM5;BRBRKMACNPA4;CASH;;;23,04;;;;80;35200
2020-06-26;BRKM5F;BRBRKMACNPA4;ODD LOT;;;23,04;;;;45;744
2020-06-26;BRML3;BRBRMLACNOR9;CASH;;;9,66;;;;189;81700
2020-06-26;BRML3F;BRBRMLACNOR9;ODD LOT;;;9,69;;;;75;1154
2020-06-26;BRSR6;BRBRSRACNPB4;CASH;;;13,69;;;;63;32400
2020-06-26;BRSR6F;BRBRSRACNPB4;ODD LOT;;;13,71;;;;71;760
2020-06-26;BTOW3;BRBTOWACNOR8;CASH;;;102,47;;;;46;8500
2020-06-26;BTOW3F;BRBTOWACNOR8;ODD LOT;;;102,62;;;;13;231
2020-06-26;CCRO3;BRCCROACNOR2;CASH;;;14,78;;;;143;69900
2020-06-26;CCRO3F;BRCCROACNOR2;ODD LOT;;;14,83;;;;23;367
2020-06-26;CESP6;BRCESPACNPB4;CASH;;;28,05;;;;7;1000
2020-06-26;CESP6F;BRCESPACNPB4;ODD LOT;;;28,19;;;;4;92
2020-06-26;CIEL3;BRCIELACNOR3;CASH;;;4,64;;;;391;480100
2020-06-26;CIEL3F;BRCIELACNOR3;ODD LOT;;;4,64;;;;107;1744
2020-06-26;CMIG4;BRCMIGACNPR3;CASH;;;10,61;;;;241;112300
